Actual,Predicted,Confidence_normalized
0,0,0.06018066
0,2,0
1,0,0.242780928
1,1,0.488034889
1,2,0.35660264
2,0,0.306296697
2,2,0.116399976
3,0,0.293697696
3,3,0.250284007
4,0,0.465342912
4,4,0.777763086
4,5,0.814492345
5,0,0.46918987
5,2,0.437375935
5,5,0.32947436
6,0,0.157045549
6,1,0.409058166
6,6,0.521240125
7,0,0.468749067
7,6,1
7,7,0.313825907
